filescaptured,esd_program,bdec,acronym,nickname,solicitation.number,nspires_id,nspires_title,nspires_type,sponsor,fy,annual_funds_avail,num_selected,max_performance_years,total_funds_avail,solicitation_url,selections_url,notes,link_to_rfp_pd
FALSE,,FALSE,,,,NNH17ZDA001N-ACCESS,Advancing Collaborative Connections for Earth System Science,NRA,NASA:HQ:SMD:ES,2017,,,,,,,,
FALSE,,FALSE,,AQast09,,NNH09ZDA001N-AQAST,Air Quality Applied Sciences Team,NRA,NASA:HQ:SMD:ES,2009,,,,,,,,
FALSE,,FALSE,,,,NNH12ZDA001N-AITT,Airborne Instrument Technology Transition,NRA,NASA:HQ:SMD:ES,2012,,,,,,,,
FALSE,,FALSE,,,,NNH16ZDA001N-AITT,Airborne Instrument Technology Transition,NRA,NASA:HQ:SMD:ES,2016,,,,,,,,
FALSE,,FALSE,,h2016,,NNH16ZDA001N-WATER,Applied Sciences - Water Resources,NRA,NASA:HQ:SMD:ES,2016,,,,,,,,
FALSE,,FALSE,,,,NNH13ZDA001N-ACCDAM,Atmospheric Composition Campaign Data Analysis and Modeling,NRA,NASA:HQ:SMD:ES,2013,,,,,,,,
FALSE,,FALSE,,,,NNH10ZDA001N-AURA,Atmospheric Composition: Aura Science Team,NRA,NASA:HQ:SMD:ES,2010,,,,,,,,
FALSE,,FALSE,,,,NNH08ZDA001N-ACLAB,Atmospheric Composition: Laboratory Research,NRA,NASA:HQ:SMD:ES,2008,,,,,,,,
FALSE,,FALSE,,,,NNH11ZDA001N-ACLR,Atmospheric Composition: Laboratory Research,NRA,NASA:HQ:SMD:ES,2011,,,,,,,,
FALSE,,FALSE,,,,NNH14ZDA001N-ACLS,Atmospheric Composition: Laboratory Research,NRA,NASA:HQ:SMD:ES,2014,,,,,,,,
FALSE,,FALSE,,,,NNH06ZDA001N-ACRM,Atmospheric Composition: Research and Modeling,NRA,NASA:HQ:SMD:ES,2006,,,,,,,,
FALSE,,FALSE,,,,NNH12ZDA001N-UACO,Atmospheric Composition: Upper Atmospheric Composition Observations,NRA,NASA:HQ:SMD:ES,2012,,,,,,,,
FALSE,,FALSE,,,,NNH16ZDA001N-UACO,Atmospheric Composition: Upper Atmospheric Composition Observations,NRA,NASA:HQ:SMD:ES,2016,,,,,,,,
FALSE,,FALSE,,,,NNH07ZDA001N-CARBON,Carbon Cycle Science,NRA,NASA:HQ:SMD:ES,2007,,,,,,,,
FALSE,,FALSE,,,,NNH10ZDA001N-CARBON,Carbon Cycle Science,NRA,NASA:HQ:SMD:ES,2010,,,,,,,,
FALSE,,FALSE,,,,NNH13ZDA001N-CARBON,Carbon Cycle Science,NRA,NASA:HQ:SMD:ES,2013,,,,,,,,
FALSE,,FALSE,,CMS16,,NNH16ZDA001N-CMS,Carbon Monitoring System,NRA,NASA:HQ:SMD:ES,2016,,,,,,,,
FALSE,,FALSE,,CMS15,,NNH15ZDA001N-CMS,Carbon Monitoring System,NRA,NASA:HQ:SMD:ES,2015,,,,,,,,
FALSE,,FALSE,,CMS11,,NNH11ZDA001N-CMS,Carbon Monitoring System Program,NRA,NASA:HQ:SMD:ES,2011,,,,,,,,
FALSE,,FALSE,,CMSproto18,,NNH18ZDA001N-CMS,Carbon Monitoring System: Continuing Prototype Product Development,NRA,NASA:HQ:SMD:ES,2018,,,,,,,,
FALSE,,FALSE,,,,NNH18ZDA001N-CMS,Carbon Monitoring System: Continuing Prototype Product Development,NRA,NASA:HQ:SMD:ES,2018,,,,,,,,
FALSE,,FALSE,,CMSproto14,,NNH14ZDA001N-CMS,"Carbon Monitoring System: Continuing Prototype Product Development, Research, and Scoping",NRA,NASA:HQ:SMD:ES,2014,,,,,,,,
FALSE,,FALSE,,CMSproto13,,NNH13ZDA001N-CMS,"Carbon Monitoring System: Continuing Prototype Product Development, Research, and Scoping",NRA,NASA:HQ:SMD:ES,2013,,,,,,,,
FALSE,,FALSE,,,,NNH14ZDA001N-CMS,"Carbon Monitoring System: Continuing Prototype Product Development, Research, and Scoping",NRA,NASA:HQ:SMD:ES,2014,,,,,,,,
FALSE,,FALSE,,,,NNH16ZDA001N-CSESP,Citizen Science for Earth Systems Program,NRA,NASA:HQ:SMD:ES,2016,,,,,,,,
FALSE,,FALSE,,,,NNH14ZDA001N-INCA,Climate Indicators and Data Products for Future National Climate Assessments,NRA,NASA:HQ:SMD:ES,2014,,,,,,,,
FALSE,,FALSE,,,,NNH09ZDA001N-CCST,CloudSat and CALIPSO Science Team Recompete,NRA,NASA:HQ:SMD:ES,2009,,,,,,,,
FALSE,,FALSE,,,,NNH12ZDA001N-CCST,CloudSat And CALIPSO Science Team Recompete,NRA,NASA:HQ:SMD:ES,2012,,,,,,,,
FALSE,,FALSE,,,,NNH15ZDA001N-CCST,CloudSat and CALIPSO Science Team Recompete,NRA,NASA:HQ:SMD:ES,2015,,,,,,,,
FALSE,,FALSE,,,,NNH18ZDA001N-CCST,CloudSat and CALIPSO Science Team Recompete,NRA,NASA:HQ:SMD:ES,2018,,,,,,,,
