Purchase Requisition Number,Grant Number,Institution,NASA Center,Proposal Title,Program Title,Principal Investigator Name,Technical Officer,Award Date,Performance Start Date,Performance End Date,Status,Description of Action
(N/A),NNX09AV78G S06,University of Washington,HQ,"RECALIBRATION OF GALILEO NEAR INFRARED MAPPING SPECTROMETER DATA FOR EUROPA, CALLISTO, AND IO AND THE MODELING OF ICE AND NON-ICE COMPONENTS",OUTER PLANETS RESEARCH (OPR) PROGRAM,STEPHEN E WOOD,TERRY A HURFORD,8/27/2014,9/1/2009,7/31/2015,Work In Progress,Receiving
(N/A),NNX09AV79G S04,UNIVERSITY OF MARYLAND - BALTIMORE COUNTY,HQ,"IN SITU MEASUREMENT OF METEOROLOGICAL STATE VARIABLES USING DROPSONDE ON THE NASA DC-8 AND GLOBAL HAWK DURING NASA-GRIP, AND COMPOSITE ANALYSIS OF A LARGE DROPSONDE DATABASE",HURRICANE FIELD EXPERIMENT PROGRAM,JEFFREY HALVERSON,RAMESH K KAKAR,3/20/2014,10/1/2009,9/30/2014,Awarded,Distribution
(N/A),NNX09AV81G S04,UNIVERSITY OF ALABAMA - BIRMINGHAM,HQ,LINKING NASA ENVIRONMENTAL DATA WITH A NATIONAL PUBLIC HEALTH COHORT STUDY TO ENHANCE PUBLIC HEALTH DECISION MAKING,DECISION SUPPORT THROUGH EARTH SCIENCE RESEARCH RESULTS,LESLIE MCCLURE,JOHN A HAYNES,1/9/2014,10/1/2009,12/31/2013,Awarded,Distribution
(N/A),NNX09AV81G S05,UNIVERSITY OF ALABAMA - BIRMINGHAM,HQ,LINKING NASA ENVIRONMENTAL DATA WITH A NATIONAL PUBLIC HEALTH COHORT STUDY TO ENHANCE PUBLIC HEALTH DECISION MAKING,DECISION SUPPORT THROUGH EARTH SCIENCE RESEARCH RESULTS,LESLIE MCCLURE,JOHN A HAYNES,4/11/2014,10/1/2009,9/30/2014,Awarded,Distribution
4200500157,NNX09AV88G S15,SETI INSTITUTE,HQ,THE RINGS NODE FOR THE PLANETARY DATA SYSTEM,PLANETARY DATA SYSTEM (PDS),MARK SHOWALTER,WILLIAM P KNOPF,1/16/2014,8/28/2009,8/27/2014,Work In Progress,Receiving
4200511590,NNX09AV88G S16,SETI INSTITUTE,HQ,THE RINGS NODE FOR THE PLANETARY DATA SYSTEM,PLANETARY DATA SYSTEM (PDS),MARK SHOWALTER,WILLIAM P KNOPF,5/1/2014,8/28/2009,8/27/2014,Work In Progress,Receiving
4200522695,NNX09AV88G S17,SETI INSTITUTE,HQ,THE RINGS NODE FOR THE PLANETARY DATA SYSTEM,PLANETARY DATA SYSTEM (PDS),MARK SHOWALTER,WILLIAM P KNOPF,8/7/2014,8/28/2009,9/30/2015,Work In Progress,Package Processing
4200531589,NNX09AV88G S18,SETI INSTITUTE,HQ,THE RINGS NODE FOR THE PLANETARY DATA SYSTEM,PLANETARY DATA SYSTEM (PDS),MARK SHOWALTER,WILLIAM P KNOPF,10/23/2014,8/28/2009,9/30/2015,Work In Progress,Receiving
4200536523,NNX09AV88G S19,SETI INSTITUTE,HQ,THE RINGS NODE FOR THE PLANETARY DATA SYSTEM,PLANETARY DATA SYSTEM (PDS),MARK SHOWALTER,WILLIAM P KNOPF,12/17/2014,8/28/2009,9/30/2015,Work In Progress,Distribution
4200500162/ 4200500153,NNX09AV89G S18,Washington University (St. Louis),HQ,THE GEOSCIENCES NODE OF THE PLANETARY DATA SYSTEM,PLANETARY DATA SYSTEM SENIOR REVIEW 2009,RAYMOND ARVIDSON,WILLIAM P KNOPF,1/13/2014,12/1/2009,11/30/2014,Work In Progress,Receiving
4200511586,NNX09AV89G S19,Washington University (St. Louis),HQ,THE GEOSCIENCES NODE OF THE PLANETARY DATA SYSTEM,PLANETARY DATA SYSTEM SENIOR REVIEW 2009,RAYMOND ARVIDSON,WILLIAM P KNOPF,5/2/2014,12/1/2009,11/30/2014,Work In Progress,Receiving
4200524455,NNX09AV89G S20,Washington University (St. Louis),HQ,THE GEOSCIENCES NODE OF THE PLANETARY DATA SYSTEM,PLANETARY DATA SYSTEM SENIOR REVIEW 2009,RAYMOND ARVIDSON,WILLIAM P KNOPF,8/26/2014,12/1/2009,9/30/2015,Work In Progress,Receiving
4200531584,NNX09AV89G S21,Washington University (St. Louis),HQ,THE GEOSCIENCES NODE OF THE PLANETARY DATA SYSTEM,PLANETARY DATA SYSTEM SENIOR REVIEW 2009,RAYMOND ARVIDSON,WILLIAM P KNOPF,10/24/2014,12/1/2009,9/30/2015,Work In Progress,Distribution
4200536437,NNX09AV89G S22,Washington University (St. Louis),HQ,THE GEOSCIENCES NODE OF THE PLANETARY DATA SYSTEM,PLANETARY DATA SYSTEM SENIOR REVIEW 2009,RAYMOND E ARVIDSON,WILLIAM P KNOPF,12/16/2014,12/1/2009,9/30/2015,Work In Progress,Distribution
4200500164/ 4200500154,NNX09AV90G S16,New Mexico State University,HQ,THE ATMOSPHERES NODE OF THE PLANETARY DATA SYSTEM,PLANETARY DATA SYSTEM PROGRAM,RETA BEEBE,WILLIAM P KNOPF,1/13/2014,12/16/2009,12/15/2014,Work In Progress,Receiving
4200511588,NNX09AV90G S17,New Mexico State University,HQ,THE ATMOSPHERES NODE OF THE PLANETARY DATA SYSTEM,PLANETARY DATA SYSTEM PROGRAM,RETA BEEBE,WILLIAM P KNOPF,5/2/2014,12/16/2009,12/15/2014,Work In Progress,Receiving
4200524456,NNX09AV90G S18,New Mexico State University,HQ,THE ATMOSPHERES NODE OF THE PLANETARY DATA SYSTEM,PLANETARY DATA SYSTEM PROGRAM,RETA BEEBE,WILLIAM P KNOPF,8/18/2014,12/16/2009,9/30/2015,Work In Progress,Package Processing
4200531586,NNX09AV90G S19,New Mexico State University,HQ,THE ATMOSPHERES NODE OF THE PLANETARY DATA SYSTEM,PLANETARY DATA SYSTEM PROGRAM,RETA BEEBE,WILLIAM P KNOPF,10/24/2014,12/16/2009,9/30/2015,Work In Progress,Receiving
4200500165/ 4200500155,NNX09AV91G S17,University of California-Los Angeles,HQ,THE PLANETARY PLASMA INTERACTIONS NODE OF THE PLANETARY DATA SYSTEM,PLANETARY DATA SYSTEM PROGRAM,RAYMOND J. WALKER,WILLIAM P KNOPF,1/10/2014,12/1/2009,11/30/2014,Work In Progress,Package Prep
4200524454,NNX09AV91G S18,University of California-Los Angeles,HQ,THE PLANETARY PLASMA INTERACTIONS NODE OF THE PLANETARY DATA SYSTEM,PLANETARY DATA SYSTEM PROGRAM,RAYMOND J. WALKER,WILLIAM P KNOPF,8/27/2014,12/1/2009,9/30/2015,Work In Progress,Receiving
4200531587,NNX09AV91G S19,University of California-Los Angeles,HQ,THE PLANETARY PLASMA INTERACTIONS NODE OF THE PLANETARY DATA SYSTEM,PLANETARY DATA SYSTEM PROGRAM,RAYMOND J. WALKER,WILLIAM P KNOPF,10/23/2014,12/1/2009,9/30/2015,Work In Progress,Receiving
4200536522,NNX09AV91G S20,University of California-Los Angeles,HQ,THE PLANETARY PLASMA INTERACTIONS NODE OF THE PLANETARY DATA SYSTEM,PLANETARY DATA SYSTEM PROGRAM,RAYMOND J. WALKER,WILLIAM P KNOPF,12/17/2014,12/1/2009,9/30/2015,Work In Progress,Receiving
4200500152/ 4200500160,NNX09AV92G S15,UNIVERSITY OF MARYLAND COLLEGE PARK,HQ,THE SMALL BODIES NODE OF THE PLANETARY DATA SYSTEM,PLANETARY DATA SYSTEM PROGRAM,MICHAEL F. A'HEARN,WILLIAM P KNOPF,1/13/2014,12/1/2009,11/30/2015,Work In Progress,Receiving
4200513662,NNX09AV92G S16,UNIVERSITY OF MARYLAND COLLEGE PARK,HQ,THE SMALL BODIES NODE OF THE PLANETARY DATA SYSTEM,PLANETARY DATA SYSTEM PROGRAM,MICHAEL F. A'HEARN,WILLIAM P KNOPF,5/19/2014,12/1/2009,11/30/2015,Work In Progress,Receiving
4200531229,NNX09AV92G S17,UNIVERSITY OF MARYLAND COLLEGE PARK,HQ,THE SMALL BODIES NODE OF THE PLANETARY DATA SYSTEM,PLANETARY DATA SYSTEM PROGRAM,MICHAEL F. A'HEARN,WILLIAM P KNOPF,10/24/2014,12/1/2009,11/30/2015,Work In Progress,Receiving
4200536436,NNX09AV92G S18,"UNIVERSITY OF MARYLAND, COLLEGE PARK",HQ,THE SMALL BODIES NODE OF THE PLANETARY DATA SYSTEM,PLANETARY DATA SYSTEM PROGRAM,MICHAEL F A'HEARN,WILLIAM P KNOPF,12/16/2014,12/1/2009,11/30/2015,Work In Progress,Distribution
