Purchase Requisition Number,Grant Number,Institution,NASA Center,Proposal Title,Program Title,Principal Investigator Name,Technical Officer,Award Date,Performance Start Date,Performance End Date,Status,Description of Action
(N/A),80NSSC18K1223 P00003,"University of California, Berkeley",HQ,REASSESSING PLASMA TRANSPORT IN THE EARTH'S INNER MAGNETOSPHERE,HELIOPHYSICS SUPPORTING RESEARCH,Solene Lejosne,Patrick Koehn,7/22/2021,9/1/2018,8/31/2022,Approved/ Awarded,Distribution
(N/A),80NSSC18K1224 P00003,"University of Texas, Dallas",HQ,MODELING ENERGETIC ELECTRON RESPONSE DUE TO NONLINEAR WAVE PARTICLE INTERACTION,HELIOPHYSICS SUPPORTING RESEARCH,Liheng Zheng,Patrick Koehn,7/7/2021,6/26/2018,6/25/2022,Approved/ Awarded,Distribution
(N/A),80NSSC18K1225 P00003,(N/A),HQ,GROWING BEYOND EARTH INNOVATION STUDIO,2018 NASA TEAMS ENGAGING AFFILIATED MUSEUMS AND INFORMAL INSTITUTIONS (TEAM II),CARL LEWIS,Patricia Gillis,9/17/2021,10/1/2018,9/30/2022,Approved/ Awarded,Distribution
(N/A),80NSSC18K1226 P00003,Rice University (William Marsh Rice University),HQ,EFFECTS OF PLASMA-SHEET BUBBLE INJECTIONS IN THE NEAR-EARTH MAGNETOSPHERE,HELIOPHYSICS SUPPORTING RESEARCH,FRANK TOFFOLETTO,Patrick Koehn,6/8/2021,6/26/2018,6/25/2022,Approved/ Awarded,Distribution
4200756128,80NSSC18K1227 P00002,"University of California, Los Angeles",HQ,QUANTIFYING THE RESPONSE OF IONOSPHERIC CURRENTS TO SUBSTORM-TIME AND NON-SUBSTORM FAST FLOWS,HELIOPHYSICS SUPPORTING RESEARCH,JACOB BORTNIK,ARIK POSNER,2/22/2021,8/1/2018,7/31/2021,Approved/ Awarded,Distribution
(N/A),80NSSC18K1227 P00003,(N/A),HQ,QUANTIFYING THE RESPONSE OF IONOSPHERIC CURRENTS TO SUBSTORM-TIME AND NON-SUBSTORM FAST FLOWS,HELIOPHYSICS SUPPORTING RESEARCH,JACOB BORTNIK,Patrick Koehn,7/22/2021,8/1/2018,7/31/2022,Approved/ Awarded,Distribution
4200752760,80NSSC18K1229 P00003,UNIVERSITY OF WASHINGTON,HQ,Variability of Glaciers and Fjord Ice in Southeast Greenland with Application to Resident Polar Bears,Cryospheric Science,KRISTIN LAIDRE,WILLIAM W TURNER,1/6/2021,9/1/2018,8/31/2021,Approved/ Awarded,Distribution
(N/A),80NSSC18K1229 P00004,(N/A),HQ,Variability of Glaciers and Fjord Ice in Southeast Greenland with Application to Resident Polar Bears,Cryospheric Science,KRISTIN LAIDRE,WILLIAM W TURNER,7/22/2021,9/1/2018,8/31/2022,Approved/ Awarded,Distribution
(N/A),80NSSC18K1231 P00003,University of Wisconsin - Madison,HQ,PROPERTIES OF KINETIC MAGNETIC RECONNECTION,HELIOPHYSICS TECHNOLOGY AND INSTRUMENT DEVELOPMENT FOR SCIENCE,JAN EGEDAL,John Moses,6/3/2021,6/26/2018,6/25/2022,Approved/ Awarded,Distribution
(N/A),80NSSC18K1232 P00003,SPACE SCIENCE INSTITUTE,HQ,LABORATORY INVESTIGATION OF THE ROLE OF ENERGETIC ELECTRON BEAMS IN WAVE GENERATION IN THE SOLAR CORONA AND IN THE HELIOSPHERE,HELIOPHYSICS TECHNOLOGY AND INSTRUMENT DEVELOPMENT FOR SCIENCE,Vadim Roytershteyn,JOHN MOSES,7/15/2021,6/26/2018,6/25/2022,Approved/ Awarded,Distribution
