Purchase Requisition Number,Grant Number,Institution,NASA Center,Proposal Title,Program Title,Principal Investigator Name,Technical Officer,Award Date,Performance Start Date,Performance End Date,Status,Description of Action
"4200308663","NNX09AT13G S01","CALIFORNIA INSTITUTE OF TECHNOLOGY","GSFC","ADMINISTRATIVE - 1ST NO COST EXTENSION","XMM-NEWTON GUEST OBSERVER PROGRAM","ALBERTO NORIEGA-CRESPO","STEVEN SNOWDEN","2010-08-12","2009-08-12","2011-08-11","Awarded","Distribution"
"4200308665","NNX09AT15G S01","ROCHESTER INSTITUTE OF TECHNOLOGY","GSFC","ADMINISTRATIVE - 1ST NO COST EXTENSION","XMM-NEWTON GUEST OBSERVER PROGRAM","JOEL KASTNER","STEVEN SNOWDEN","2010-07-29","2009-08-12","2011-08-11","Awarded","Distribution"
"4200309075","NNX09AT16G S01","JOHNS HOPKINS UNIVERSITY","GSFC","ADMINISTRATIVE - 1ST NO COST EXTENSION","XMM-NEWTON GUEST OBSERVER PROGRAM","LYNNE VALENCIC","STEVEN SNOWDEN","2010-08-10","2009-08-12","2011-08-11","Awarded","Distribution"
"4200308429","NNX09AT17G S01","UNIVERSITY OF COLORADO","GSFC","ADMINISTRATIVE - 1ST NO COST EXTENSION","XMM-NEWTON GUEST OBSERVER PROGRAM","ROSALBA PERNA","STEVEN SNOWDEN","2010-07-26","2009-08-13","2011-08-12","Awarded","Distribution"
"4200308428","NNX09AT18G S01","UNIVERSITY OF CALIFORNIA - DAVIS","GSFC","ADMINISTRATIVE - 1ST NO COST EXTENSION","XMM-NEWTON GUEST OBSERVER PROGRAM","SPENCER STANFORD","STEVEN SNOWDEN","2010-05-13","2009-08-13","2011-08-12","Awarded","Distribution"
"4200305024","NNX09AT20G S01","SMITHSONIAN ASTROPHYSICAL OBSERVATORY","GSFC","ADMINISTRATIVE - 1ST NO COST EXTENSION","XMM-NEWTON GUEST OBSERVER PROGRAM","DONG-WOO KIM","STEVEN SNOWDEN","2010-06-01","2009-08-12","2011-08-11","Awarded","Distribution"
"4200308430","NNX09AT22G S01","UNIVERSITY OF COLORADO","GSFC","ADMINISTRATIVE - NO COST EXTENSION","XMM-NEWTON GUEST OBSERVER PROGRAM","ROSALBA PERNA","STEVEN SNOWDEN","2010-08-10","2009-09-01","2011-08-31","Awarded","Distribution"
"4200308456","NNX09AT23G S01","UNIVERSITIES SPACE RESEARCH ASSOCIATION","GSFC","ADMINISTRATIVE - 1ST NO COST EXTENSION","XMM-NEWTON GUEST OBSERVER PROGRAM","KAJAL GHOSH","STEVEN SNOWDEN","2010-07-29","2009-08-13","2011-08-12","Awarded","Distribution"
"4200308458","NNX09AT24G S01","UNIVERSITIES SPACE RESEARCH ASSOCIATION","GSFC","ADMINISTRATIVE - 1ST NO COST EXTENSION","XMM-NEWTON GUEST OBSERVER PROGRAM","KAJAL GHOSH","STEVEN SNOWDEN","2010-07-30","2009-08-13","2011-08-12","Awarded","Distribution"
"4200309048","NNX09AT26G S01","UNIVERSITY OF MARYLAND - BALTIMORE COUNTY","GSFC","ADMINISTRATIVE - 1ST NO COST EXTENSION","INTEGRAL GUEST OBSERVER PROGRAM","KATJA POTTSCHMIDT","NEIL GEHRELS","2010-08-13","2009-08-12","2011-08-11","Awarded","Distribution"
"4200309047","NNX09AT28G S01","UNIVERSITY OF MARYLAND - BALTIMORE COUNTY","GSFC","ADMINISTRATIVE - 1ST NO COST EXTENSION","INTEGRAL GUEST OBSERVER PROGRAM","KATJA POTTSCHMIDT","NEIL GEHRELS","2010-08-13","2009-08-12","2011-08-11","Awarded","Distribution"
"4200309060","NNX09AT29G S01","VIRGINIA POLYTECHNIC INSTITUTE AND STATE UNIVERSITY","GSFC","ADMINISTRATIVE - 1ST NO COST EXTENSION","XMM-NEWTON GUEST OBSERVER PROGRAM","NAHUM ARAV","STEVEN SNOWDEN","2010-06-11","2009-08-12","2011-08-11","Awarded","Distribution"
"4200310027","NNX09AT30G S01","BINGHAMTON UNIVERSITY","GRC","TO DEVELOP A FOCUSED RESEARCH AND DEVELOPMENT INITIATIVE ON LARGE AREA FLEXIBLE SOLAR CELL MODULES","EXPLORATION SYSTEMS","CHARLES WESTGATE","ROSHANAK HAKIMZADEH","2010-12-02","2010-01-01","2011-06-30","Awarded","Distribution"
"4200307736","NNX09AT35G S02","CITY UNIVERSITY OF NEW YORK (CUNY)","GSFC","ADMINISTRATIVE - 1ST NO COST EXTENSION","UNSOLICITED","ZAHIDUR RAHMAN","DANIEL MANDL","2010-07-20","2009-08-14","2011-08-10","Awarded","Distribution"
"4200346950","NNX09AT36G S01","STANFORD UNIVERSITY","HQ","FUNDING - YEAR 2 FULLY FUNDED REVIEWED AND APPROVED FOR FUNDING","LIVING WITH A STAR TARGETED RESEARCH AND TECHNOLOGY (TR&T) PROGRAM","ALEXANDER KOSOVICHEV","MADHULIKA GUHATHAKURTA","2010-06-28","2009-08-11","2013-08-10","Awarded","Distribution"
"4200344936","NNX09AT37A S01","UNIVERSITY OF MARYLAND - BALTIMORE COUNTY","GSFC","FUNDING - INCREMENTAL YEAR 2 REVIEWED AND APPROVED FOR FUNDING","NASA LUNAR SCIENCE INSTITUTE","MENELAOS SARANTOS","WILLIAM FARRELL","2010-07-29","2009-09-01","2013-08-31","Awarded","Distribution"
"4200353117","NNX09AT37A S02","UNIVERSITY OF MARYLAND - BALTIMORE COUNTY","GSFC","FUNDING - YEAR 2 FULLY FUNDED REVIEWED AND APPROVED FOR FUNDING","NASA LUNAR SCIENCE INSTITUTE","MENELAOS SARANTOS","WILLIAM FARRELL","2010-08-12","2009-09-01","2013-08-31","Awarded","Distribution"
"4200355138","NNX09AT40G S01","UNIVERSITY OF MIAMI","GSFC","FUNDING - YEAR 2 FULLY FUNDED REVIEWED AND APPROVED FOR FUNDING","UNSOLICITED","RONI AVISSAR","BHASKAR CHOUDHURY","2010-08-25","2009-08-14","2011-08-13","Awarded","Distribution"
"4200310023","NNX09AT43G S01","MICHIGAN RESEARCH INSTITUTE","GRC","ADMINISTRATIVE - 1ST NO COST EXTENSION","EXPLORATION SYSTEMS","ANDREW TAYLOR","MICHAEL NATHAL","2010-08-26","2009-10-01","2011-09-30","Awarded","Distribution"
"4200307753","NNX09AT49G S01","COLUMBIA UNIVERSITY (INTERNATIONAL RESEARCH INSTITUTE FOR CLIMATE AND SOCIETY)","HQ","ADMINISTRATIVE - 1ST NO COST EXTENSION","EARTH SCIENCE APPLICATIONS FEASIBILITY STUDIES PROGRAM","SYLWIA TRZASKA","JOHN HAYNES","2010-08-30","2009-09-01","2011-04-30","Awarded","Distribution"
"4200351704","NNX09AT52G S01","EMORY UNIVERSITY","HQ","FUNDING - YEAR 2 FULLY FUNDED REVIEWED AND APPROVED FOR FUNDING","DECISION SUPPORT THROUGH EARTH SCIENCE RESEARCH RESULTS","YANG LIU","JOHN HAYNES","2010-08-10","2009-10-01","2012-09-30","Awarded","Distribution"
"4200369496","NNX09AT53G S01","WASHINGTON UNIVERSITY","HQ","NASA AND NAAPS PRODUCTS FOR AQ DECISION-MAKING","DECISION SUPPORT THROUGH EARTH SCIENCE RESEARCH RESULTS","RUDOLF HUSAR","LAWRENCE FRIEDL","2010-12-30","2009-10-01","2012-09-30","Awarded","Distribution"
"4200369495","NNX09AT54G S01","COLORADO STATE UNIVERSITY","HQ","NASA AND NAAPS PRODUCTS FOR AQ DECISION-MAKING","DECISION SUPPORT THROUGH EARTH SCIENCE RESEARCH RESULTS","SHAWN MCCLURE","LAWRENCE A. FRIEDL","2010-12-30","2009-10-01","2012-09-30","Awarded","Distribution"
"4200300386","NNX09AT57G S01","TEXAS A & M RESEARCH FOUNDATION","HQ","ADMINISTRATIVE - 1ST NO COST EXTENSION","MARS FUNDAMENTAL RESEARCH PROGRAM","ISTVAN SZUNYOGH","MARILYN LINDSTROM","2010-06-01","2009-08-28","2011-02-27","Awarded","Distribution"
"4200348552","NNX09AT58G S01","INDIANA UNIVERSITY","HQ","FUNDING - YEAR 2 FULLY FUNDED REVIEWED AND APPROVED FOR FUNDING","DECISION SUPPORT THROUGH EARTH SCIENCE RESEARCH RESULTS","DANIEL JOHNSON","JOHN HAYNES","2010-07-09","2009-08-07","2012-08-06","Awarded","Distribution"
"4200366002","NNX09AT61G S01","JOHNS HOPKINS UNIVERSITY","HQ","PROJECT NILE: DISTRIBUTED HYDROLOGICAL INFORMATION FOR WATER MANAGEMENT IN THE NILE BASIN","DECISION SUPPORT THROUGH EARTH SCIENCE RESEARCH RESULTS","BENJAMIN ZAITCHI","BRADLEY DOORN","2010-12-01","2009-08-07","2013-08-06","Awarded","Distribution"
"4200308852","NNX09AT62G S01","SMITHSONIAN INSTITUTION","GSFC","ADMINISTRATIVE - 1ST NO COST EXTENSION","FERMI GUEST INVESTIGATOR PROGRAM - CYCLE 2","NICOLA GALANTE","JULIE MCENERY","2010-08-11","2009-09-01","2011-08-31","Awarded","Distribution"
"4200308801","NNX09AT66G S01","UNIVERSITY OF NEVADA - LAS VEGAS","GSFC","ADMINISTRATIVE - 1ST NO COST EXTENSION","FERMI GUEST INVESTIGATOR PROGRAM - CYCLE 2","BING ZHANG","JULIE MCENERY","2010-08-03","2009-08-14","2011-08-13","Awarded","Distribution"
"4200308758","NNX09AT67G S01","LEHIGH UNIVERSITY","GSFC","ADMINISTRATIVE - 1ST NO COST EXTENSION","FERMI GUEST INVESTIGATOR PROGRAM - CYCLE 2","M. VIRGINIA MCSWAIN","JULIE MCENERY","2010-07-09","2009-08-14","2011-08-13","Awarded","Distribution"
"4200308831","NNX09AT68G S01","SMITHSONIAN INSTITUTION","GSFC","ADMINISTRATIVE - 1ST NO COST EXTENSION","FERMI GUEST INVESTIGATOR PROGRAM - CYCLE 2","PATRICK SLANE","JULIE MCENERY","2010-08-19","2009-10-01","2011-09-30","Awarded","Distribution"
"4200308799","NNX09AT70G S01","UNIVERSITY OF UTAH","GSFC","ADMINISTRATIVE - NO COST EXTENSION","FERMI GUEST INVESTIGATOR PROGRAM - CYCLE 2","PAOLO GONDOLO","JULIE MCENERY","2010-02-19","2009-08-14","2011-08-13","Awarded","Distribution"
"4200308800","NNX09AT71G S01","BARNARD COLLEGE","GSFC","ADMINISTRATIVE - NO COST EXTENSION","FERMI GUEST INVESTIGATOR PROGRAM - CYCLE 2","RESHMI MUKHERJEE","JULIE MCENERY","2010-04-01","2009-08-14","2011-08-13","Awarded","Distribution"
"4200308781","NNX09AT72G S01","PENNSYLVANIA STATE UNIVERSITY","GSFC","ADMINISTRATIVE - 1ST NO COST EXTENSION","FERMI GUEST INVESTIGATOR PROGRAM - CYCLE 2","PETER MESZAROS","JULIE MCENERY","2010-06-25","2009-09-01","2011-08-31","Awarded","Distribution"
