Purchase Requisition Number,Grant Number,Institution,NASA Center,Proposal Title,Program Title,Principal Investigator Name,Technical Officer,Award Date,Performance Start Date,Performance End Date,Status,Description of Action
4200244897,NNX08AL22G S01,UNIVERSITY CORPORATION FOR ATMOSPHERIC RESEARCH,GSFC,ADMINISTRATIVE - NO COST EXTENSION,HELIOPHYSICS GUEST INVESTIGATORS,SCOTT MCINTOSH,THERESE KUCERA,4/3/2009,4/3/2008,9/30/2009,Awarded,Distribution
4200289070,NNX08AL23G S01,UNIVERSITY CORPORATION FOR ATMOSPHERIC RESEARCH,GSFC,FUNDING - YEAR 2 REVIEWED AND APPROVED FOR FUNDING,HELIOPHYSICS GUEST INVESTIGATORS,SCOTT MCINTOSH,THERESE KUCERA,4/17/2009,4/3/2008,4/2/2011,Awarded,Distribution
4200304268,NNX08AL24G S01,SETI INSTITUTE,HQ,FUNDING - YEAR 2 REVIEWED AND APPROVED FOR FUNDING,MARS DATA ANALYSIS PROGRAM,DAVID HINSON,ROBERT FOGEL,8/4/2009,4/2/2008,4/1/2011,Awarded,Distribution
4200300996,NNX08AL25G S01,CORNELL UNIVERSITY,HQ,FUNDING - YEAR 2 REVIEWED AND APPROVED FOR FUNDING,PLANETARY GEOLOGY AND GEOPHYSICS PROGRAM,JOSEPH BURNS,MICHAEL KELLEY,6/30/2009,4/1/2008,3/31/2011,Awarded,Distribution
4200308509,NNX08AL25G S02,CORNELL UNIVERSITY,HQ,FUNDING - EPO,PLANETARY GEOLOGY AND GEOPHYSICS PROGRAM,JOSEPH BURNS,MICHAEL KELLEY,9/2/2009,4/1/2008,3/31/2011,Awarded,Distribution
4200286912,NNX08AL26G S01,"UNIVERSITY OF CALIFORNIA, SANTA CRUZ",HQ,FUNDING - YEAR 2 REVIEWED AND APPROVED FOR FUNDING,PLANETARY GEOLOGY AND GEOPHYSICS,FRANCIS NIMMO,MICHAEL KELLEY,3/27/2009,4/1/2008,3/31/2011,Awarded,Distribution
4200287542,NNX08AL27G S01,CARNEGIE INSTITUTION OF WASHINGTON,HQ,FUNDING - YEAR 2 REVIEWED AND APPROVED FOR FUNDING,PLANETARY GEOLOGY AND GEOPHYSICS,HOKWANG MAO,MICHAEL KELLEY,4/3/2009,4/1/2008,3/31/2011,Awarded,Distribution
4200299111/ 4200299132,NNX08AL28G S01,UNIVERSITY OF NORTH CAROLINA,HQ,FUNDING - AUGMENTATION,DECISION SUPPORT THROUGH EARTH SCIENCE RESEARCH RESULTS,UMA SHANKAR,LAWRENCE FRIEDL,6/23/2009,5/1/2008,4/30/2011,Awarded,Distribution
4200286131,NNX08AL29G S01,UNIVERSITY OF NEW HAMPSHIRE,HQ,FUNDING - INCREMENTAL,TERRESTRIAL ECOLOGY,MICHAEL PALACE,DIANE WICKLAND,4/6/2009,5/1/2008,4/30/2011,Awarded,Distribution
4200304667,NNX08AL30G S01,MISSISSIPPI STATE UNIVERSITY,MSFC,FUNDING - YEAR 2 REVIEWED AND APPROVED FOR FUNDING,UNSOLICITED,STEVE DANIEWICZ,KRISTIN MORGAN,7/22/2009,4/7/2008,4/6/2010,Awarded,Distribution
